archetype,site_id,brand_name,primary_lens,platform,platform_category,relevance,why_fit
flagship,coincu,Coincu,institutional and macro-economic analysis,CoinGecko,Market Data,High,"Core market benchmark for price, market cap, and broad market context used in institutional/macro coverage."
flagship,coincu,Coincu,institutional and macro-economic analysis,Glassnode,On-Chain Analytics,High,"Strong fit for holder behavior, liquidity, and on-chain fundamentals that support macro/institutional thesis pieces."
flagship,coincu,Coincu,institutional and macro-economic analysis,DefiLlama,DeFi & Protocol Analytics,High,"Useful when institutional flows spill into DeFi sectors, TVL shifts, and protocol-level market structure context."
flagship,coincu,Coincu,institutional and macro-economic analysis,CoinMetrics,On-Chain Analytics,Medium,Good for longer-range historical network datasets and market structure comparisons.
flagship,coincu,Coincu,institutional and macro-economic analysis,CryptoQuant,On-Chain Analytics,Medium,"Fits exchange flow, reserve, and derivatives-linked on-chain context for serious traders."
flagship,coincu,Coincu,institutional and macro-economic analysis,Messari,Ecosystem / Specialized Data,Medium,"Useful for structured project datasets and research framing, though more research-support than headline source."
wire,cryptodailyalert,CryptoDailyAlert,breaking news speed and accuracy,CoinGecko,Market Data,High,Fast baseline source for immediate price reaction in breaking coverage.
wire,cryptodailyalert,CryptoDailyAlert,breaking news speed and accuracy,CoinMarketCap,Market Data,High,"Useful secondary market benchmark for quick verification of prices, market cap, and rankings."
wire,cryptodailyalert,CryptoDailyAlert,breaking news speed and accuracy,Blockchair,Blockchain Intelligence & Explorer,Medium,Helps confirm on-chain events quickly when a breaking story references transfers or addresses.
wire,cryptodailyalert,CryptoDailyAlert,breaking news speed and accuracy,CoinGlass,Trading & Market Analytics,Medium,Relevant when the breaking item is market-moving and requires liquidation or funding context.
wire,bitcoininfonews,BtcInfoNews,Bitcoin network health and monetary properties,Glassnode,On-Chain Analytics,High,"Best fit for Bitcoin holder, liquidity, reserve, and network-health metrics."
wire,bitcoininfonews,BtcInfoNews,Bitcoin network health and monetary properties,CoinMetrics,On-Chain Analytics,High,Useful for long-horizon Bitcoin network and monetary data comparisons.
wire,bitcoininfonews,BtcInfoNews,Bitcoin network health and monetary properties,Blockchair,Blockchain Intelligence & Explorer,High,"Practical chain-level validation source for transactions, blocks, and address activity."
wire,bitcoininfonews,BtcInfoNews,Bitcoin network health and monetary properties,CryptoQuant,On-Chain Analytics,High,"Strong for exchange reserves, netflows, and market structure metrics around BTC."
