platform,status,access_requirement,notes
coinmarketcap,working,none,"TradingView tab selection added before capture on coin pages"
coingecko,working,none,"Clicks live-chart-tradingview and captures tvLiveChartContainer"
dexscreener,blocked,cloudflare_captcha,"Routable in config but blocked by Cloudflare human verification on this VPS"
coinglass,working_explicit_only,none,"Supports explicit capture keys only; no default implicit CoinGlass capture"
cryptorank,working,none,"major_token_unlocks capture fixed to div#major-token-unlocks"
dextools,not_implemented,unknown,"No capture rules implemented yet"
debank,working_partial,none,"wallet portfolio summary and protocol summary implemented; token page not implemented"
dappradar,blocked,cloudflare_captcha,"Routable in config but blocked by Cloudflare on this VPS"
defillama,working,none,"chain_tvl_chart and protocol_tvl_chart implemented; chain wins if both inferred"
arkm,blocked,cloudflare_captcha,"Routable in config but blocked by Cloudflare on this VPS"
blockchair,blocked,http_403,"Main Bitcoin page returned 403 from this VPS"
chainalysis,not_implemented,unknown,"No capture rules implemented yet"
dune,blocked,cloudflare_captcha,"Routable in config but blocked by Cloudflare on this VPS"
glassnode,working,none,"Public chart pages implemented for monthly returns and price performance since ATH"
messari,working,none,"Project snapshot chart capture implemented"
nansen,not_implemented,unknown,"No capture rules implemented yet"
santiment,working,none,"Hide Pro Metrics prep added; clean capture path uses headless mode"
coinmetrics,working_partial,overlay_issue,"Initial capture implemented but not considered production-ready because promo overlay affected output"
cryptoquant,working,none,"exchange_reserve_chart and netflow_chart implemented"
tokenterminal,working,none,"Project overview card works after longer settle delay"
tokeninsight,blocked,cloudflare_captcha,"Routable in config but blocked by Cloudflare on this VPS"
stakingrewards,working,none,"Provider summary card capture implemented"
cryptoslam,working_partial,login_may_be_required,"Current blockchain summary capture works publicly; other page types may still require login"
l2beat,working,none,"Project primary card capture tuned to div.mt-4.mb-3"
tradingview,working,none,"advanced_chart capture uses chart-container-border on chart URLs"
