brand_name,site_id,archetype,primary_lens,fit_rank,platform,platform_category,relevance,why_fit
AiCryptoCore,aicryptocore,niche,AI and blockchain convergence,1,CoinGecko,Market Data,High,Best baseline for AI-token sector price performance and broad market context.
AiCryptoCore,aicryptocore,niche,AI and blockchain convergence,2,DefiLlama,DeFi & Protocol Analytics,Medium,"Relevant when AI-linked protocols have TVL, fees, or on-chain product metrics."
AiCryptoCore,aicryptocore,niche,AI and blockchain convergence,3,Dune,On-Chain Analytics,Medium,Can support custom dashboards for AI-token usage and on-chain activity when queried well.
AiCryptoCore,aicryptocore,niche,AI and blockchain convergence,4,Messari,Ecosystem / Specialized Data,Medium,Useful for project-level research and ecosystem mapping where AI-specific datasets are limited in the PDF list.
AiCryptoCore,aicryptocore,niche,AI and blockchain convergence,5,Nansen,On-Chain Analytics,Medium,Good for wallet-level token flow analysis around AI narratives.
AiCryptoCore,aicryptocore,niche,AI and blockchain convergence,6,TokenTerminal,DeFi & Protocol Analytics,Medium,Useful for evaluating revenue and fees of AI-related crypto protocols.
AiCryptoCore,aicryptocore,niche,AI and blockchain convergence,7,CoinMarketCap,Market Data,Low,"Helpful as a secondary market reference, but not specialized enough for this niche."
BtcInfoNews,bitcoininfonews,wire,Bitcoin network health and monetary properties,1,Blockchair,Blockchain Intelligence & Explorer,High,"Practical chain-level validation source for transactions, blocks, and address activity."
BtcInfoNews,bitcoininfonews,wire,Bitcoin network health and monetary properties,2,CoinMetrics,On-Chain Analytics,High,Useful for long-horizon Bitcoin network and monetary data comparisons.
BtcInfoNews,bitcoininfonews,wire,Bitcoin network health and monetary properties,3,CryptoQuant,On-Chain Analytics,High,"Strong for exchange reserves, netflows, and market structure metrics around BTC."
BtcInfoNews,bitcoininfonews,wire,Bitcoin network health and monetary properties,4,Glassnode,On-Chain Analytics,High,"Best fit for Bitcoin holder, liquidity, reserve, and network-health metrics."
BtcInfoNews,bitcoininfonews,wire,Bitcoin network health and monetary properties,5,CoinGecko,Market Data,Medium,Needed for simple market context but not sufficient alone for this site?s Bitcoin-first lens.
BtcInfoNews,bitcoininfonews,wire,Bitcoin network health and monetary properties,6,CoinGlass,Trading & Market Analytics,Medium,Useful for futures positioning and liquidation data when the Bitcoin angle is market-driven.
Coincu,coincu,flagship,institutional and macro-economic analysis,1,CoinGecko,Market Data,High,"Core market benchmark for price, market cap, and broad market context used in institutional/macro coverage."
Coincu,coincu,flagship,institutional and macro-economic analysis,2,DefiLlama,DeFi & Protocol Analytics,High,"Useful when institutional flows spill into DeFi sectors, TVL shifts, and protocol-level market structure context."
Coincu,coincu,flagship,institutional and macro-economic analysis,3,Glassnode,On-Chain Analytics,High,"Strong fit for holder behavior, liquidity, and on-chain fundamentals that support macro/institutional thesis pieces."
Coincu,coincu,flagship,institutional and macro-economic analysis,4,CoinMetrics,On-Chain Analytics,Medium,Good for longer-range historical network datasets and market structure comparisons.
Coincu,coincu,flagship,institutional and macro-economic analysis,5,CryptoQuant,On-Chain Analytics,Medium,"Fits exchange flow, reserve, and derivatives-linked on-chain context for serious traders."
Coincu,coincu,flagship,institutional and macro-economic analysis,6,Messari,Ecosystem / Specialized Data,Medium,"Useful for structured project datasets and research framing, though more research-support than headline source."
CoinLineup,coinlineup,community,plain-English explanation for newcomers,1,CoinGecko,Market Data,High,Best simple market reference for beginner-friendly explainers.
CoinLineup,coinlineup,community,plain-English explanation for newcomers,2,CoinMarketCap,Market Data,High,Useful for accessible rankings and basic price context that newcomers already recognize.
CoinLineup,coinlineup,community,plain-English explanation for newcomers,3,CoinGlass,Trading & Market Analytics,Medium,Useful only when liquidation or derivatives context needs simple explanation.
CoinLineup,coinlineup,community,plain-English explanation for newcomers,4,DefiLlama,DeFi & Protocol Analytics,Medium,Helpful for simplified protocol explainers when TVL or fees matter.
CoinLineup,coinlineup,community,plain-English explanation for newcomers,5,Blockchair,Blockchain Intelligence & Explorer,Low,"Can verify chain facts, but usually too technical for the core audience."
CoinLive,coinlive,wire,real-time market impact and speed,1,CoinGecko,Market Data,High,"Fast baseline for price, change, volume, and ranking in flash-style posts."
CoinLive,coinlive,wire,real-time market impact and speed,2,CoinGlass,Trading & Market Analytics,High,"Direct fit for liquidation, funding, and derivatives reaction in fast market updates."
CoinLive,coinlive,wire,real-time market impact and speed,3,CryptoQuant,On-Chain Analytics,High,Useful for exchange flow and reserve signals that move markets in real time.
CoinLive,coinlive,wire,real-time market impact and speed,4,Arkham,Blockchain Intelligence & Explorer,Medium,Relevant for attributed whale-wallet movements in fast alerts.
